"id","nom","nbAvis","latitude","longitude","shape_gid","gtrip"
"2140566","La Gaite Lyrique","27","48.866947","2.353786","83332","187147"
"2643795","Theatre Fontaine","56","48.88097","2.33463","83329","187147"
"2173236","L  Eglise Sainte-Odile","6","48.88689","2.29339","82475","187147"
"2492753","L  Atelier Renault","103","48.87042","2.30555","76102","187147"
"245118","Opéra comique /Salle Favart","20","48.870678","2.337674","83329","187147"
"2081852","Ecole des danses latines tropicales","6","48.850163","2.381418","83324","187147"
"2492750","Citroen Champs-Elysees Showroom","106","48.86983","2.30749","76102","187147"
"245079","Le Bataclan","45","48.86323","2.37103","83328","187147"
"3312335","Église Saint-Augustin","54","48.87654","2.31942","76102","187147"
"2162615","Palais de justice de Paris","140","48.855724","2.345087","82481","187147"
"589089","19ème arrondissement","39","48.882442","2.383175","82479","187147"
"3291254","Saint Vincent de Paul","29","48.84889","2.32146","83333","187147"
"3227599","Théâtre des Nouveautés","97","48.8712","2.34483","83329","187147"
"265618","Grands Boulevards","62","48.86724","2.311796","76102","187147"
"188508","Bastille","311","48.853138","2.368712","83325","187147"
"2417748","Theatre Michel","34","48.879063","2.336031","83329","187147"
"590581","Maison Rouge","33","48.84728","2.3673","83324","187147"
"2293360","Passage Brady","51","48.871346","2.354916","66451","187147"
"1790137","Pavillon de l  Arsenal","27","48.85077","2.36254","83325","187147"
"2212609","Je Veux Etre Photographe!","24","48.85435","2.34101","83333","187147"
"484922","Musée de la Contrefaçon","42","48.87014","2.27683","83330","187147"
"656730","Ile des Cygnes (Isle of the Swans)","76","48.85274","2.283654","83330","187147"
"591466","Musee du Service de Sante des Armees","30","48.84084","2.34097","82476","187147"
"1499128","La Piscine Josephine Baker","52","48.834953","2.37668","82480","187147"
"3339103","Halle St-Pierre","42","48.88483","2.34415","83250","187147"
"279060","École Lenôtre","18","48.855038","2.306289","83327","187147"
"246227","Quartier juif","49","48.856922","2.359958","83325","187147"
"3618687","Bassin de la Villette","48","48.88614","2.37346","82479","187147"
"213494","Comédie-Française (Théâtre Français)","65","48.867764","2.337907","83326","187147"
"3385943","Église Sainte-Marguerite","9","48.85281","2.38093","83328","187147"
"230304","Cathédrale américaine de Paris","28","48.867435","2.300904","76102","187147"
"1950272","Ice Magic","2","48.86778","2.315773","76102","187147"
"191148","Place Furstenberg","28","48.85685","2.341247","82481","187147"
"245144","Théâtre Lucernaire","7","48.84419","2.33033","83333","187147"
"1790889","Art France Academie","3","48.8731","2.34435","83329","187147"
"191014","Rue Mallet-Stevens","12","48.85469","2.266316","83330","187147"
"545590","MK2 Bibliothèque","15","48.83209","2.375576","82480","187147"
"246752","Voie Triomphale","229","48.882553","2.26769","50666","187147"
"245154","UGC Ciné Cité Les Halles","17","48.8935","2.385006","82479","187147"
"189282","Palais-Bourbon","35","48.86277","2.31843","83327","187147"
"3356632","Musée National du Sport","39","48.829174","2.377899","82480","187147"
"189239","École Ritz Escoffier","0","48.8671","2.328651","82481","187147"
"240640","Musée de l  éventail","5","48.86956","2.35438","66451","187147"
"1899364","Atelier Alupi","44","48.83307","2.31953","82477","187147"
"1748300","Palais de la Porte Dorée - Musée de l  histoire de l  immigration","89","48.83451","2.40947","83324","187147"
"209784","Bibliothèque Nationale de France","153","48.833786","2.377675","82480","187147"
"244996","Elysée Montmartre","2","48.883057","2.343837","83329","187147"
"1722734","Aquarium de Paris - CineAqua","824","48.86299","2.29183","83330","187147"
"1943482","Eglise Saint-Roch","77","48.86484","2.33209","82481","187147"
"245056","Ken Club","8","48.85301","2.28131","83330","187147"
"208639","Sèvres Babylone","12","48.851135","2.326527","83333","187147"
"188154","Rue de l  Université","19","48.859642","2.318149","83327","187147"
"190201","Théâtre des Bouffes du Nord","16","48.884083","2.358977","83250","187147"
"1492719","Crypte archéologique du parvis de Notre-Dame","401","48.854633","2.347717","83325","187147"
"644733","Rue Etienne Marcel","18","48.8646","2.346075","82481","187147"
"245136","Studio 28","5","48.88615","2.33531","83250","187147"
"310415","Jardin Atlantique de Paris","43","48.84182","2.318276","83331","187147"
"1514030","Theatre Musical Marsoulan","3","48.8466","2.40327","83324","187147"
"2202997","Romantic Opera","4","48.85863","2.30097","83327","187147"
"2402901","Maison de la Culture du Japon a Paris","12","48.85579","2.28975","83331","187147"
"3587490","Pont de Bercy","26","48.84053","2.37367","83324","187147"
"2057181","Place Pigalle","61","48.88199","2.33694","83329","187147"
"3387198","Eglise Notre-Dame de l  Assomption","20","48.86758","2.32566","82481","187147"
"232108","Cimetière de Passy","40","48.861794","2.28472","83330","187147"
"2040168","Le Chat Botte","1","48.879803","2.329313","83329","187147"
"246664","Palais de Tokyo","389","48.86481","2.29633","83330","187147"
"1870816","Centre Culturel Irlandais","7","48.84424","2.34595","82476","187147"
"1951154","Cafe les Ours","15","48.86745","2.39647","82478","187147"
"232115","Institut de France","43","48.8567","2.33803","83333","187147"
"246226","Goutte d  or","14","48.88501","2.352319","83250","187147"
"1992164","Vintage Madelaine","4","48.8716","2.32185","76102","187147"
"2234715","L  atelier des Chefs","44","48.87301","2.3166","76102","187147"
"2282098","Aviaxess Helicopter and Jet","126","48.83368","2.27111","83331","187147"
"310851","Office de Tourisme et des Congrès de Paris","1446","48.872765","2.298461","76102","187147"
"2194691","Passerelle Debilly","23","48.86261","2.296861","83330","187147"
"188487","Palais Galliéra, Musée de mode de la Ville de Paris","185","48.86575","2.296632","83330","187147"
"294938","Aviation Club de France","9","48.87168","2.30159","76102","187147"
"195382","Le Bateau-lavoir","16","48.83577","2.284856","83331","187147"
"245108","MK2 sur Seine","3","48.88513","2.37143","82479","187147"
"600907","Cine 13","1","48.88817","2.33585","83250","187147"
"208829","Les Halles","384","48.85918","2.345067","82481","187147"
"2665963","Carrousel de Paris","35","48.882793","2.3332","83329","187147"
"3571304","Bowling Front de Seine","23","48.84917","2.2843","83331","187147"
"1908310","Place de la Nation","40","48.84863","2.395921","83328","187147"
"245146","Théâtre national de la Colline","7","48.8646","2.3977","82478","187147"
"523894","Basilique Sainte-Clotilde","34","48.858643","2.319368","83327","187147"
"245141","Théâtre Bourvil","1","48.85005","2.391","83328","187147"
"245149","Théâtre de la Bastille","9","48.85592","2.37549","83328","187147"
"1121741","Pont du Carrousel","29","48.86","2.333333","82481","187147"
"208641","Rue de la Paix","46","48.86926","2.33129","83326","187147"
"194195","Fontaine des Quatre Saisons","6","48.868793","2.300928","76102","187147"
"246685","Passy","36","48.868362","2.33284","82481","187147"
"2416154","La Belle Epoque","27","48.86708","2.33547","82481","187147"
"1847871","Pont de la Tournelle","40","48.828472","2.426486","83324","187147"
"3587550","Observatory Gardens - Marco Polo & Robert Cavelier de la Salle","29","48.83837","2.33656","82477","187147"
"592453","Elysee Palace","49","48.870728","2.316957","76102","187147"
"2512694","Le Bowling Mouffetard","66","48.84221","2.34974","82476","187147"
"1066271","La Maison de l  Indochine","2","48.850956","2.333844","83333","187147"
"232117","Maison de Balzac","70","48.85542","2.2807","83330","187147"
"245109","Maison de Radio France","18","48.85205","2.27964","83330","187147"
"246688","Place Stalingrad","29","48.884502","2.369184","82479","187147"
"232166","Parc zoologique de Paris","1596","48.833168","2.414576","83324","187147"
